objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Monumental: Lost Kingdoms","266939","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517463","5.65988","7.24847","3","0","1913","thing","Monumental: Lost Kingdoms","1","5","120","120","90","2020","3,4","3","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Movie Empire","241829","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517540","5.56365","6.67958","2.5","11452","388","thing","Movie Empire","1","4","120","120","45","2020","1,2,3,4","3,4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mystic Vale","194607","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327699","6.93332","7.23692","2.2591","569","17410","thing","Mystic Vale","2","4","45","45","45","2016","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mystic Vale: Vale of the Wild","220502","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327719","6.23928","7.87623","2.4286","0","4455","thing","Mystic Vale: Vale of the Wild","2","4","45","45","45","2017","2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon","186751","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517313","6.98029","8.30503","3.0602","509","6759","thing","Mythic Battles: Pantheon","2","4","90","90","60","2019","2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Monolith Board Games","English; French","2019","English/French 1.5 edition 2019"
"Mythic Battles: Pantheon – Atlas","242993","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130298","5.68935","8.13751","0","0","2313","thing","Mythic Battles: Pantheon – Atlas","2","4","0","0","0","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon – Compendium","219999","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130301","5.61851","8","0","0","1538","thing","Mythic Battles: Pantheon – Compendium","1","4","90","90","45","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon – Dionysus","255505","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130304","5.58785","8.69059","0","0","1132","thing","Mythic Battles: Pantheon – Dionysus","1","4","90","90","60","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon – Echidna's Children","218877","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130295","5.6186","8.19837","0","0","1521","thing","Mythic Battles: Pantheon – Echidna's Children","2","4","90","90","45","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon – Hephaistos","218880","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130292","5.68552","8.44554","0","0","1892","thing","Mythic Battles: Pantheon – Hephaistos","2","4","90","90","45","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon – Hera Expansion","218879","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130289","5.71328","8.46473","0","0","2025","thing","Mythic Battles: Pantheon – Hera Expansion","2","4","90","90","45","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon – Heroes of the Trojan Wars","218884","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130288","5.66691","8.31273","0","0","1840","thing","Mythic Battles: Pantheon – Heroes of the Trojan Wars","2","4","90","90","45","2017","","","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon – Judges of the Underworld","218883","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130287","5.62833","8.20652","0","0","1691","thing","Mythic Battles: Pantheon – Judges of the Underworld","2","4","90","90","45","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon – Manticore","218882","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130309","5.6442","8.38993","0","0","1699","thing","Mythic Battles: Pantheon – Manticore","2","4","90","90","45","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon – Oedipus Vs. the Sphinx","218881","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130308","5.61491","8.12698","0","0","1677","thing","Mythic Battles: Pantheon – Oedipus Vs. the Sphinx","2","4","90","90","45","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon – Pandora's Box","220000","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130310","5.94926","8.68704","3","0","5053","thing","Mythic Battles: Pantheon – Pandora's Box","1","4","90","90","45","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon – Poseidon Expansion","213527","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130311","5.70032","8.49167","3","0","1924","thing","Mythic Battles: Pantheon – Poseidon Expansion","2","4","0","0","0","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Pantheon – Rise of the Titans","218876","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130312","5.67631","8.36761","3","0","1852","thing","Mythic Battles: Pantheon – Rise of the Titans","2","4","90","90","45","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Mythic Battles: Ragnarök","331398","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517305","6.02477","8.40919","3.3226","2951","2042","thing","Mythic Battles: Ragnarök","2","4","90","90","60","2023","2,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
